                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.087638,               0.087039,               0.045397,               0.051434,                0.58052,                0.26306,                0.22116,               0.088467,                 0.6039,                0.26144,                0.23591,                0.10529,               0.067802,               0.049337,               0.027012,               0.035935,                0.07017,              0.0033144,              0.0033144
                      1,               0.064078,               0.055598,               0.040946,               0.029995,                0.37906,                0.41719,                0.39672,                0.19831,                0.39681,                 0.4089,                0.39305,                0.22718,               0.064299,                0.04646,               0.025279,               0.024787,               0.040164,              0.0066411,              0.0066411
                      2,               0.061908,               0.054634,               0.040782,               0.023375,                0.37022,                0.46806,                 0.3788,                0.18959,                0.37249,                0.46895,                0.37801,                0.19463,               0.062758,               0.047703,               0.027645,                0.02037,               0.010151,              0.0099613,              0.0099613
                      3,               0.060192,               0.054456,               0.042163,               0.022066,                0.47824,                0.44613,                0.44062,                0.22971,                0.48088,                 0.4424,                0.43365,                0.24181,               0.060903,               0.046665,               0.027421,               0.022344,              0.0099703,              0.0099703,              0.0099703
                      4,               0.058819,               0.055172,               0.042329,               0.020456,                0.41524,                0.43636,                0.38435,                0.19542,                0.41638,                0.43493,                0.38286,                0.21776,               0.060087,               0.045807,               0.027911,               0.022766,              0.0099703,              0.0099703,              0.0099703
                      5,               0.056992,               0.052308,               0.041199,               0.019324,                0.48608,                0.48794,                0.46738,                0.24284,                0.48252,                0.48405,                0.45852,                0.25268,                0.06068,               0.047051,               0.027363,               0.023993,              0.0099604,              0.0099604,              0.0099604
                      6,               0.055999,               0.051885,                0.04134,               0.019236,                0.53441,                0.51072,                0.48568,                 0.2785,                0.54213,                 0.5122,                0.48655,                0.28862,               0.058075,               0.043708,               0.027358,               0.018914,              0.0099505,              0.0099505,              0.0099505
                      7,                0.05434,               0.050742,               0.040998,               0.017573,                0.53886,                0.49262,                0.49847,                0.27978,                0.54541,                0.48893,                0.48542,                0.30029,                0.05705,               0.044906,               0.026957,               0.019838,              0.0099406,              0.0099406,              0.0099406
                      8,                0.05428,               0.050287,               0.041135,               0.016735,                  0.525,                0.45238,                0.45441,                0.25716,                0.53253,                0.44595,                0.45484,                0.26114,               0.056377,                0.04302,               0.028075,               0.019616,              0.0099307,              0.0099307,              0.0099307
                      9,               0.053057,               0.049675,               0.040905,                0.01643,                0.55676,                0.54379,                 0.5559,                0.33867,                0.59639,                0.53537,                 0.5505,                0.35548,               0.054206,               0.039936,               0.026352,                0.01563,              0.0099208,              0.0099208,              0.0099208
